Gender,Age,PB1,PB2,PB3,PB4,PB5,PB6,PB7,PB8,PB9,PB10,PB11,PB12,PB13,PB14,PB15,PB16,PB17,PB18,STOPD11,STOPD21,STOPD31,STOPD41,STOPD51,Vitality1,Vitality2,Vitality3,Vitality,Health,NSNFAF,NSNFAS,NSNFSF,NSNFSS,NSNFCF,NSNFCS
Woman,46,81,15,80,20,21,60,15,69,38,82,39,39,84,15,49,62,16,17,10,5,6,27,7,50,41,60,50.33,3,2,4,2,4,3,4
Man,36,69,16,64,46,67,64,54,58,62,63,59,55,67,70,71,73,69,67,94,81,83,87,75,79,83,67,76.33,3,3,4,4,4,4,3
Man,58,100,100,98,100,98,100,100,100,100,100,100,100,100,100,96,100,100,99,100,99,100,100,100,100,100,99,99.67,3,3,3,3,3,3,2
Man,19,30,6,19,13,20,3,25,32,28,42,59,56,29,65,36,7,27,50,26,18,49,58,43,11,18,30,19.67,2,3,3,2,3,3,2
Woman,31,50,0,50,70,50,50,100,70,100,50,50,50,50,100,50,50,0,100,100,100,100,50,50,0,0,0,0.00,1,3,1,4,3,4,2
Man,23,69,26,80,20,91,90,52,22,86,69,53,68,67,38,80,92,44,13,78,91,41,15,54,82,90,90,87.33,4,2,4,3,3,4,4
Woman,44,52,7,43,89,50,100,94,100,72,95,14,72,6,12,10,79,9,100,88,86,93,87,100,18,19,7,14.67,2,4,1,5,2,4,2
Woman,54,60,40,100,100,69,70,81,100,39,65,75,74,77,60,100,100,66,2,81,45,100,83,2,82,2,55,46.33,3,2,4,3,4,2,3
Woman,46,26,22,31,58,44,54,51,39,38,42,41,33,40,33,30,31,17,33,32,37,40,39,44,26,38,47,37.00,2,3,3,3,2,4,2
Woman,23,18,69,16,58,40,44,72,34,40,43,68,34,67,53,85,46,62,15,15,27,23,39,34,28,67,31,42.00,3,3,2,4,3,2,2
Man,18,50,0,NA,18,42,72,42,36,0,56,19,24,42,NA,NA,NA,0,NA,7,9,15,20,13,15,15,21,17.00,3,4,5,4,4,2,2
Woman,55,61,79,77,54,89,65,97,81,100,64,30,87,32,93,46,22,29,74,86,86,73,32,68,56,39,34,43.00,2,4,1,4,2,4,2
Woman,34,6,100,50,100,100,50,100,50,79,50,30,100,0,100,10,50,100,100,100,100,100,100,100,50,1,10,20.33,1,5,1,5,1,5,2
